date,title,with,video_id,start,type,hoka_url,note
2023/4/9,Realize,,aXAD9nCtsO0,0,short,,
2023/4/22,ダーリン,,tiuOQSxZ1j8,0,short,,
2023/5/3,フラジール,,n2apR0arPKI,0,short,,
2023/6/29,狂乱 Hey Kids!!,,rVo93CwFNKU,109,utawaku,,
2023/6/29,ギラギラ,,rVo93CwFNKU,504,utawaku,,
2023/6/29,Snow Fairy,,rVo93CwFNKU,960,utawaku,,
2023/6/29,たばこ,,rVo93CwFNKU,1342,utawaku,,
2023/6/29,トリコ,,rVo93CwFNKU,1890,utawaku,,
2023/6/29,怪獣の花唄,,rVo93CwFNKU,2303,utawaku,,
2023/6/29,ft.,,tSuR25wBJ7A,0,video,,
2023/9/2,パメラ,,-56g2OBa_tI,117,utawaku,,
2023/9/2,Envy Baby,ルカ・カネシロ,-56g2OBa_tI,411,utawaku,,
2023/9/2,ニア,,-56g2OBa_tI,653,utawaku,,
2023/9/2,フロムトーキョー,,-56g2OBa_tI,1040,utawaku,,
2023/9/2,雨とカプチーノ,,-56g2OBa_tI,1329,utawaku,,
2023/9/2,革命デュアリズム,セフィナ,13E1WW6D6N8,1063,utawaku,,
2023/9/23,Stand By You,伊波ライ,JNfoPxPa-nQ,68,utawaku,,
2023/9/23,サウダージ,,JNfoPxPa-nQ,576,utawaku,,
2023/9/23,夜明けと蛍,,JNfoPxPa-nQ,1930,utawaku,,
2023/9/23,群青,伊波ライ,JNfoPxPa-nQ,2388,utawaku,,
2023/9/23,怪物,,JNfoPxPa-nQ,2757,utawaku,,
2023/9/23,LOSER,伊波ライ,JNfoPxPa-nQ,3588,utawaku,,
2023/9/23,ブルーアンビエンス,伊波ライ,7v14AKVU1lg,0,video,,
2023/9/30,パーペキヒーロー,星導ショウ/叢雲カゲツ/伊波ライ/小柳ロウ/佐伯イッテツ/赤城ウェン/宇佐美リト,y9Q8JkJARfI,0,video,,
2023/10/31,S.C.R.E.A.M,小柳ロウ/星導ショウ,caeQsPkros8,0,video,,
2023/11/5,死ぬな！,レヴィ・エリファ/伊波ライ,X82XuhJWX9M,254,utawaku,,
2023/11/5,夢喰い白黒バク,,X82XuhJWX9M,929,utawaku,,
2023/11/5,マトリョシカ,伊波ライ,X82XuhJWX9M,1712,utawaku,,
2023/11/5,勿忘,レヴィ・エリファ,X82XuhJWX9M,2817,utawaku,,
2023/11/5,レディーレ,,X82XuhJWX9M,3318,utawaku,,
2023/11/5,ドラマツルギー,伊波ライ,X82XuhJWX9M,4934,utawaku,,
2023/11/5,エンヴィキャットウォーク,伊波ライ,X82XuhJWX9M,5648,utawaku,,
2023/11/5,恋愛裁判,,X82XuhJWX9M,6086,utawaku,,
2023/11/5,絶え間なく藍色,,X82XuhJWX9M,7275,utawaku,,
2023/11/5,君じゃなきゃダメみたい,レヴィ・エリファ/伊波ライ,X82XuhJWX9M,7660,utawaku,,
2023/11/18,レド,,rbTSSeKrZUc,1442,utawaku,,
2023/11/18,orion,星導ショウ,rbTSSeKrZUc,3832,utawaku,,
2023/11/18,灰色と青,伊波ライ,rbTSSeKrZUc,5569,utawaku,,
2023/11/18,睡蓮花,赤城ウェン/伊波ライ,rbTSSeKrZUc,8731,utawaku,,
2023/11/22,日本の夏,,5coycgJ1gxs,0,short,,
2023/12/9,Loveit?,,mP4JLLnrB7o,0,short,,
2024/1/5,Shout Baby,,-X0BaDyyfqA,338,utawaku,,
2024/1/5,不可幸力,,-X0BaDyyfqA,718,utawaku,,
2024/1/5,東京フラッシュ,,-X0BaDyyfqA,1120,utawaku,,
2024/1/5,猫,,-X0BaDyyfqA,1531,utawaku,,
2024/1/5,ノマド,,-X0BaDyyfqA,1928,utawaku,,
